捧头鼠窜,ND,7,-1
不知所云,NE,5,-1
骁勇善战,PH,5,1
自相残害,NN,7,-1
狼突豕窜,ND,7,-1
杀人如蓺,NN,7,-1
冻解冰释,PE,5,1
局天扣地,NB,5,-1
念旧,PF,1,0
邻女詈人,NN,1,0
地痞,ND,5,-1
骄人,PH,5,1
怡悦,PA,5,1
无教养,NN,9,-1
优点,PH,5,1
下酒,PH,3,0
锵金铿玉,PH,5,1
碰杯,PA,7,0
拔本塞源,NN,3,-1
饥不择食,NN,5,0
枝叶扶苏,PH,5,1
忠孝节义,PH,5,0
头重脚轻,ND,7,-1
砥砺,PG,5,1
阮囊羞涩,NB,3,-1
悲伤,NB,5,0
狷介之士,PH,5,1
神清气茂,PH,7,1
意气洋洋,NN,5,-1
半痴不癫,NN,3,-1
计出万全,PH,3,1
怦怦,NI,3,0
谋及庶人,PH,5,1
佩服,PD,3,1
性急,NI,3,0
思慕,PF,3,0
背气,NC,3,-1
以规为瑱,NN,3,-1
怠惰,NN,7,-1
钻牛角尖,NN,8,-1
柔心弱骨,PH,1,1
怨怒,ND,5,0
急来抱佛脚,NI,3,-1
恢复,PA,1,1
无私有弊,NB,7,-1
豁然省悟,PH,7,1
不配,None,0,0
怯弱,NN,5,-1
神力,PH,5,1
阶级斗争,PH,7,1
望尘追迹,PH,7,1
祝哽视噎,PD,5,1
管窥之见,NN,5,-1
颠覆,ND,3,-1
洞如观火,PH,7,1
游刃有馀,PH,5,1
百里之才,NN,1,-1
乔装,NC,5,0
火龙黼黻,NN,5,0
解劝,PB,7,0
怨怪,NN,7,-1
颂赞,PH,5,1
一丘之貉,NN,5,-1
视如珍宝,PB,7,1
怨怼,ND,5,0
无可救药,NN,7,-1
热烘烘,PA,3,0
无恶不为,ND,9,-1
郎才女姿,PH,7,1
乱作胡为,NN,7,-1
神勇,PH,7,1
宫可敌国,PH,3,1
抚心自问,NB,7,-1
迷涂知反,PH,5,1
浆水不交,PH,5,1
唯唯诺诺,NN,7,-1
